idade,american_experience,at2000_suavizada_10_fem,at2000_suavizada_10_mas,at_2000_female,at_2000_male,at_49_female,at_49_male,at_83_female_iam,at_83_male_iam,br_emsmt_v_2010_f,br_emsmt_v_2010_m,br_emssb_v_2010_f,br_emssb_v_2010_m,csg_60,cso_41,cso_58,cso58_fem_age_last,cso58_fem_age_nearest,cso58_mas_age_last,cso58_mas_age_nearest,cso58_female,cso58_male,cso80,gam_71_female,gam_71_male,ibge_2006,ibge_2007,ibge_2008,ibge_2009,grupal_americana,hunters
84,0.21136,0.051455999999999995,0.06694800000000001,0.056865,0.074322,0.094224,0.122669,0.058336,0.08323,0.04185,0.07332000000000001,0.035769999999999996,0.05645,0.15750999999999998,0.17987999999999998,0.15001,0.123948,0.11935,0.155124,0.15001,0.10378,0.13045,0.14025,0.081501,0.121116,1.0,1.0,1.0,1.0,0.17800000000000002,0.06538
85,0.23555,0.057913,0.073275,0.063907,0.081326,0.10475999999999999,0.134178,0.06551799999999999,0.090987,0.04749,0.08023999999999999,0.04042,0.06187,0.1692,0.19413,0.16114,0.13392300000000001,0.12917,0.166468,0.16114,0.11232,0.14012,0.15295,0.089179,0.130102,1.0,1.0,1.0,1.0,0.19899999999999998,0.06847
86,0.26568,0.06511900000000001,0.080076,0.071815,0.088863,0.116409,0.14670899999999998,0.07349299999999999,0.099122,0.05413,0.08781,0.04582,0.06782,0.18145999999999998,0.20936999999999997,0.17282,0.144297,0.13938,0.178392,0.17282,0.1212,0.15027000000000001,0.16609000000000002,0.097468,0.13931500000000002,1.0,1.0,1.0,1.0,0.22399999999999998,0.07165
87,0.30301999999999996,0.073136,0.08737,0.080682,0.096958,0.12927,0.160333,0.08231799999999999,0.10757699999999999,0.0617,0.09609,0.05219,0.07434,0.19439,0.22563000000000002,0.18513,0.155124,0.15001,0.191021,0.18513,0.13045,0.16097999999999998,0.17955,0.106452,0.148714,1.0,1.0,1.0,1.0,0.251,0.07492
88,0.34669,0.081991,0.095169,0.090557,0.10563099999999999,0.14344500000000002,0.175124,0.092017,0.116316,0.0704,0.10517,0.059279999999999985,0.0815,0.20815999999999998,0.243,0.19825,0.166468,0.16114,0.204573,0.19825,0.14012,0.17239000000000002,0.19327,0.116226,0.158486,1.0,1.0,1.0,1.0,0.282,0.07833
89,0.39586,0.09157699999999999,0.10345499999999999,0.10130700000000001,0.11485799999999999,0.15904000000000001,0.191151,0.10249100000000001,0.125394,0.08096,0.11510999999999999,0.06734,0.08935,0.22308000000000008,0.26144,0.21245999999999998,0.178392,0.17282,0.21936799999999998,0.21245999999999998,0.15027000000000001,0.18475,0.20729,0.126893,0.168709,1.0,1.0,1.0,1.0,0.316,0.08202999999999999
90,0.45455,0.101758,0.11220799999999999,0.112759,0.12461199999999999,0.17616099999999998,0.208485,0.113605,0.13488699999999998,0.0931,0.126,0.07651000000000001,0.09796,0.23955,0.28099,0.22814,0.191021,0.18513,0.23582199999999998,0.22814,0.16097999999999998,0.19838,0.22177,0.138577,0.179452,1.0,1.0,1.0,1.0,0.355,0.08652
91,0.53247,0.11239500000000001,0.121402,0.124733,0.13486099999999998,0.194913,0.227192,0.125227,0.144873,0.10647000000000001,0.13792000000000001,0.08727,0.10740999999999999,0.25806,0.30173,0.24577,0.204573,0.19825,0.254438,0.24577,0.17239000000000002,0.21370999999999998,0.23698000000000002,0.15119200000000002,0.19048900000000002,1.0,1.0,1.0,1.0,0.39799999999999996,0.09342
92,0.63426,0.123349,0.131017,0.137054,0.145575,0.21539899999999998,0.24733200000000002,0.137222,0.15542899999999998,0.1211,0.15098,0.09906000000000001,0.11777,0.27923000000000003,0.32364,0.26593,0.21936799999999998,0.21245999999999998,0.27582199999999996,0.26593,0.18475,0.23124,0.25345,0.165077,0.201681,1.0,1.0,1.0,1.0,0.446,0.10779000000000001
93,0.73418,0.134486,0.14103,0.149552,0.156727,0.23771399999999998,0.26896,0.14946199999999998,0.166629,0.13857,0.16527999999999998,0.11227000000000001,0.12913,0.30376,0.34665999999999997,0.2893,0.23582199999999998,0.22814,0.300669,0.2893,0.19838,0.25146999999999997,0.27211,0.180401,0.212986,1.0,1.0,1.0,1.0,0.501,0.1449
94,0.85714,0.145689,0.151422,0.162079,0.16829000000000002,0.261943,0.292118,0.161834,0.178537,0.15795,0.18093,0.128,0.1416,0.33249,0.371,0.31666,0.254438,0.24577,0.330696,0.31666,0.21370999999999998,0.2749,0.2959,0.197349,0.226535,1.0,1.0,1.0,1.0,0.562,0.24971999999999997
95,1.0,0.156846,0.162179,0.174492,0.18024500000000002,0.288153,0.316834,0.174228,0.19121400000000002,0.17998,0.19808,0.14640999999999998,0.15527,0.3688,0.39621,0.35124,0.27582199999999996,0.26593,0.370645,0.35124,0.23124,0.30303,0.32996,0.216129,0.241164,1.0,1.0,1.0,1.0,0.631,0.55228
96,1.0,0.16784100000000002,0.173279,0.186647,0.19256500000000001,0.316391,0.343122,0.18653499999999998,0.20472100000000001,0.20594,0.21686,0.16835,0.17027,0.42058999999999996,0.44719,0.40055999999999997,0.300669,0.2893,0.433488,0.40055999999999997,0.25146999999999997,0.34336,0.38455,0.23697,0.256204,1.0,1.0,1.0,1.0,0.708,0.8548399999999999
97,1.0,0.178563,0.18470599999999998,0.198403,0.205229,0.346674,0.370973,0.19864600000000002,0.21911999999999998,0.23015,0.23742,0.18672,0.18672,0.51284,0.5482600000000001,0.48841999999999997,0.330696,0.31666,0.549249,0.48841999999999997,0.2749,0.40979,0.4802,0.25805900000000004,0.27248,1.0,1.0,1.0,1.0,0.794,0.9596600000000001
98,1.0,0.189604,0.196946,0.210337,0.218683,0.378986,0.400352,0.211102,0.234735,0.25194,0.25994,0.20477,0.20477,0.7015600000000001,0.72467,0.66815,0.370645,0.35124,0.750796,0.66815,0.30303,0.52262,0.65798,0.280237,0.290163,1.0,1.0,1.0,1.0,0.8909999999999999,0.99213
99,1.0,0.201557,0.210484,0.223027,0.233371,0.41326599999999997,0.431199,0.22444499999999998,0.251889,0.27912,0.2846,0.22457,0.22457,1.0,1.0,1.0,0.433488,0.40055999999999997,1.0,1.0,0.34336,0.70855,1.0,0.304679,0.309125,1.0,1.0,1.0,1.0,1.0,1.0
100,1.0,0.215013,0.225806,0.237051,0.249741,0.4494,0.46341499999999997,0.239215,0.270906,0.31072,0.31161,0.24628000000000005,0.24628000000000005,1.0,1.0,1.0,0.549249,0.48841999999999997,1.0,1.0,0.40979,1.0,1.0,0.33163000000000004,0.329825,1.0,1.0,1.0,1.0,1.0,1.0
101,1.0,0.23056500000000002,0.243398,0.252985,0.268237,0.487216,0.49687,0.25595300000000004,0.292111,0.34118000000000004,0.34118000000000004,0.2701,0.2701,1.0,1.0,1.0,0.750796,0.66815,1.0,1.0,0.52262,1.0,1.0,0.361361,0.352455,1.0,1.0,1.0,1.0,1.0,1.0
102,1.0,0.24880500000000005,0.263745,0.271406,0.28930500000000003,0.5264770000000001,0.531389,0.27520100000000003,0.315826,0.37356999999999996,0.37356999999999996,0.29622,0.29622,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.70855,1.0,1.0,0.394167,0.37722,1.0,1.0,1.0,1.0,1.0,1.0
103,1.0,0.270326,0.28733400000000003,0.29289299999999996,0.313391,0.566872,0.566757,0.2975,0.342377,0.40904,0.40904,0.32488,0.32488,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.43036599999999997,0.40620500000000004,1.0,1.0,1.0,1.0,1.0,1.0
104,1.0,0.295719,0.31464899999999996,0.318023,0.34094,0.608017,0.6027140000000001,0.32339,0.37208600000000003,0.44788,0.44788,0.35631999999999997,0.35631999999999997,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4715220000000001,0.44149700000000003,1.0,1.0,1.0,1.0,1.0,1.0
105,1.0,0.32557600000000003,0.346177,0.347373,0.372398,0.649459,0.6389560000000001,0.353414,0.405278,0.49041999999999997,0.49041999999999997,0.3908,0.3908,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.519196,0.48518199999999995,1.0,1.0,1.0,1.0,1.0,1.0
106,1.0,0.360491,0.382403,0.38151999999999997,0.40821,0.690674,0.675143,0.38811100000000004,0.44227700000000003,0.537,0.537,0.42862,0.42862,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.57495,0.539343,1.0,1.0,1.0,1.0,1.0,1.0
107,1.0,0.401054,0.423813,0.421042,0.44882299999999997,0.731092,0.7108979999999999,0.4280229999999999,0.4834060000000001,0.58801,0.58801,0.47011000000000003,0.47011000000000003,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6403449999999999,0.606069,1.0,1.0,1.0,1.0,1.0,1.0
108,1.0,0.44786000000000004,0.470893,0.466516,0.49468100000000004,0.770105,0.745822,0.473692,0.528989,0.6438699999999999,0.6438699999999999,0.51562,0.51562,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7169439999999999,0.6874439999999999,1.0,1.0,1.0,1.0,1.0,1.0
109,1.0,0.501498,0.5241279999999999,0.51852,0.546231,1.0,1.0,0.525658,0.5793510000000001,0.70505,0.70505,0.56553,0.56553,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.806309,0.785555,1.0,1.0,1.0,1.0,1.0,1.0
110,1.0,0.562563,0.584004,0.577631,0.603917,1.0,1.0,0.584462,0.634814,0.77204,0.77204,0.62029,0.62029,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
111,1.0,0.631645,0.651007,0.6444270000000001,0.668186,1.0,1.0,0.6506460000000001,0.695704,0.8454,0.8454,0.68035,0.68035,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
112,1.0,0.709338,0.725622,0.719484,0.739483,1.0,1.0,0.72475,0.762343,0.92575,0.92575,0.7462300000000001,0.7462300000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
113,1.0,0.796233,0.8083359999999999,0.80338,0.818254,1.0,1.0,0.807316,0.8350559999999999,1.0,1.0,0.8184899999999999,0.8184899999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
114,1.0,0.8929229999999999,0.899633,0.8966930000000001,0.9049450000000001,1.0,1.0,0.898885,0.914167,1.0,1.0,0.89776,0.89776,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
115,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9847100000000001,0.9847100000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
